API Country,API Currancy,Customer Id,Customer Name,Meter Category,Meter Name,Meter Sub Category,PublisherName,Usage Date,Billing Pre Tax Total
DK,DKK,id1,Customer1,Virtual Machines,A8 v2 Spot,Virtual Machines Av2 Series,Microsoft,11/2/2023,0.810671205
DK,DKK,id1,Customer1,Virtual Machines,A8 v2 Spot,Virtual Machines Av2 Series,Microsoft,11/5/2023,6.48536964
DK,DKK,id1,Customer1,Virtual Machines,A8 v2 Spot,Virtual Machines Av2 Series,Microsoft,11/8/2023,6.48536964
DK,DKK,id1,Customer1,Virtual Machines,A8 v2 Spot,Virtual Machines Av2 Series,Microsoft,11/9/2023,6.48536964
DK,DKK,id1,Customer1,Virtual Machines,A8 v2 Spot,Virtual Machines Av2 Series,Microsoft,11/10/2023,6.48536964
DK,DKK,id1,Customer1,Virtual Machines,A8 v2 Spot,Virtual Machines Av2 Series,Microsoft,11/11/2023,0.26572532
DK,DKK,id1,Customer1,Virtual Machines,A8 v2 Spot,Virtual Machines Av2 Series,Microsoft,11/11/2023,4.053356025
DK,DKK,id1,Customer1,Virtual Machines,A2m v2 Spot,Virtual Machines Av2 Series,Microsoft,11/6/2023,0.081656708
DK,DKK,id1,Customer1,Virtual Machines,A2m v2 Spot,Virtual Machines Av2 Series,Microsoft,11/9/2023,2.09970192
DK,DKK,id1,Customer1,Virtual Machines,A2m v2 Spot,Virtual Machines Av2 Series,Microsoft,11/11/2023,1.39980128
DK,DKK,id1,Customer1,Azure Cognitive Search,Basic Unit,Azure AI Search,Microsoft,11/1/2023,14.53704918
DK,DKK,id1,Customer1,Azure Cosmos DB,1M RUs,Azure Cosmos DB serverless,Microsoft,11/1/2023,0.000184742
DK,DKK,id1,Customer1,Azure Cosmos DB,1M RUs,Azure Cosmos DB serverless,Microsoft,11/1/2023,3.84116e-05
DK,DKK,id1,Customer1,Azure Cosmos DB,1M RUs,Azure Cosmos DB serverless,Microsoft,11/1/2023,0.000186571
DK,DKK,id1,Customer1,Azure Cosmos DB,1M RUs,Azure Cosmos DB serverless,Microsoft,11/1/2023,3.65825e-05
DK,DKK,id1,Customer1,Azure DNS,Public Queries,Azure DNS,Microsoft,11/1/2023,2.3989e-06
DK,DKK,id1,Customer1,Azure DNS,Public Queries,Azure DNS,Microsoft,11/1/2023,4.7977e-06
DK,DKK,id1,Customer1,Azure DNS,Public Queries,Azure DNS,Microsoft,11/1/2023,2.3989e-06
DK,DKK,id1,Customer1,Azure DNS,Public Queries,Azure DNS,Microsoft,11/1/2023,0.050850886
DK,DKK,id1,Customer1,Azure Kubernetes Service,Standard Uptime SLA,Azure Kubernetes Service,Microsoft,11/1/2023,14.534559601
DK,DKK,id1,Customer1,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,9.1081e-06
DK,DKK,id1,Customer1,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,2.1052e-06
DK,DKK,id1,Customer1,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,1.43931e-05
DK,DKK,id1,Customer1,Content Delivery Network,Standard Data Transfer,Azure CDN from Microsoft,Microsoft,11/1/2023,1.671e-06
DK,DKK,id1,Customer1,Content Delivery Network,Standard Data Transfer,Azure CDN from Microsoft,Microsoft,11/1/2023,2.6652e-06
DK,DKK,id1,Customer1,Load Balancer,Standard Data Processed,Load Balancer,Microsoft,11/1/2023,0.562629357
DK,DKK,id1,Customer1,Storage,All Other Operations,Blob Storage,Microsoft,11/1/2023,5.1575e-06
DK,DKK,id1,Customer1,Storage,All Other Operations,Blob Storage,Microsoft,11/1/2023,5.1575e-06
DK,DKK,id1,Customer1,Storage,All Other Operations,Blob Storage,Microsoft,11/1/2023,5.1575e-06
DK,DKK,id1,Customer1,Storage,All Other Operations,Blob Storage,Microsoft,11/1/2023,5.1575e-06
DK,DKK,id1,Customer1,Storage,Hot Read Operations,Blob Storage,Microsoft,11/1/2023,7.7363e-06
DK,DKK,id1,Customer1,Storage,LRS Data Stored,Files,Microsoft,11/1/2023,0.059967487
DK,DKK,id1,Customer1,Storage,GRS Data Stored,Files,Microsoft,11/1/2023,0.113721225
DK,DKK,id1,Customer1,Storage,GRS Write Operations,Files,Microsoft,11/1/2023,4.977140204
DK,DKK,id1,Customer1,Storage,Read Operations,Files,Microsoft,11/1/2023,0.076199865
DK,DKK,id1,Customer1,Storage,P10 LRS Disk,Premium SSD Managed Disks,Microsoft,11/1/2023,4.334274468
DK,DKK,id1,Customer1,Storage,E3 LRS Disk,Standard SSD Managed Disks,Microsoft,11/1/2023,0.239904491
DK,DKK,id1,Customer1,Storage,E4 LRS Disk Operations,Standard SSD Managed Disks,Microsoft,11/1/2023,0.765713878
DK,DKK,id1,Customer1,Storage,Batch Write Operations,Tables,Microsoft,11/1/2023,3.15209e-05
DK,DKK,id1,Customer1,Storage,GRS Batch Write Operations,Tables,Microsoft,11/1/2023,6.26101e-05
DK,DKK,id1,Customer1,Virtual Machines,B2ms,Virtual Machines BS Series,Microsoft,11/1/2023,13.81739328
DK,DKK,id1,Customer1,Virtual Machines,B2ms,Virtual Machines BS Series,Microsoft,11/1/2023,13.81739328
