API Country,API Currancy,Customer Id,Customer Name,Meter Category,Meter Name,Meter Sub Category,PublisherName,Usage Date,Billing Pre Tax Total
SE,SEK,Id3,Customer3,Azure App Service,F1 App,Azure App Service Free Plan,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Azure DNS,Private Zone,Azure DNS,Microsoft,10/1/2023,0.150961371
SE,SEK,Id3,Customer3,Azure DNS,Private Zone,Azure DNS,Microsoft,10/1/2023,0.150961371
SE,SEK,Id3,Customer3,Azure Data Factory v2,Cloud Read Write Operations,Azure Data Factory v2,Microsoft,10/1/2023,9.35961e-05
SE,SEK,Id3,Customer3,Azure Data Factory v2,Cloud Read Write Operations,Azure Data Factory v2,Microsoft,10/1/2023,9.35961e-05
SE,SEK,Id3,Customer3,Azure Data Factory v2,Cloud External Pipeline Activity,Azure Data Factory v2,Microsoft,10/1/2023,3.89984e-05
SE,SEK,Id3,Customer3,Azure Data Factory v2,Cloud Orchestration Activity Run,Azure Data Factory v2,Microsoft,10/1/2023,0.01871921
SE,SEK,Id3,Customer3,Azure Data Factory v2,Cloud Read Write Operations,Azure Data Factory v2,Microsoft,10/1/2023,9.35961e-05
SE,SEK,Id3,Customer3,Azure Data Factory v2,Cloud Read Write Operations,Azure Data Factory v2,Microsoft,10/1/2023,9.35961e-05
SE,SEK,Id3,Customer3,Azure DevOps,Basic User,Azure Repos and Boards (Basic),Microsoft,10/1/2023,21.738437419
SE,SEK,Id3,Customer3,Azure Synapse Analytics,Standard LRS Data Stored,Azure Synapse Analytics SQL Storage,Microsoft,10/1/2023,7.638645371
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,2.24631e-05
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,2.24631e-05
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,2.24631e-05
SE,SEK,Id3,Customer3,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,3.80426e-05
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,0.000744791
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,0.000415323
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,3.18261e-05
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,2.57971e-05
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,3.02712e-05
SE,SEK,Id3,Customer3,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,10/1/2023,3.20817e-05
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,10/1/2023,0
SE,SEK,Id3,Customer3,Container Registry,Basic Registry Unit,Container Registry,Microsoft,10/1/2023,1.559322668
SE,SEK,Id3,Customer3,Load Balancer,Standard Data Processed,Load Balancer,Microsoft,10/1/2023,0.446427891
SE,SEK,Id3,Customer3,Load Balancer,Standard Included LB Rules and Outbound Rules,Load Balancer,Microsoft,10/1/2023,5.615763
SE,SEK,Id3,Customer3,Microsoft Defender for Cloud,Standard Transactions,Microsoft Defender for Storage,Microsoft,10/1/2023,9.35961e-05
SE,SEK,Id3,Customer3,SQL Database,B DTU,SQL Database Single Basic,Microsoft,10/1/2023,1.657586045
SE,SEK,Id3,Customer3,Storage,Hot LRS Data Stored,Azure Data Lake Storage Gen2 Flat Namespace,Microsoft,10/1/2023,0.011993922
SE,SEK,Id3,Customer3,Storage,Hot GRS Iterative Read Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,0.000121675
SE,SEK,Id3,Customer3,Storage,Hot Other Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,2.9202e-05
SE,SEK,Id3,Customer3,Storage,Hot GRS Data Stored,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,8.91334e-05
SE,SEK,Id3,Customer3,Storage,Hot GRS Iterative Read Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,0.000166601
SE,SEK,Id3,Customer3,Storage,Hot Other Operations,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,2.30246e-05
SE,SEK,Id3,Customer3,Storage,Hot LRS Data Stored,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,0.00462065
SE,SEK,Id3,Customer3,Storage,Hot RA-GRS Data Stored,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,0.054816586
SE,SEK,Id3,Customer3,Storage,Hot RA-GRS Index,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,1.47807e-05
SE,SEK,Id3,Customer3,Storage,Hot LRS Data Stored,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,0.000950996
SE,SEK,Id3,Customer3,Storage,Hot LRS Index,Azure Data Lake Storage Gen2 Hierarchical Namespace,Microsoft,10/1/2023,0.000110698
SE,SEK,Id3,Customer3,Storage,All Other Operations,Blob Storage,Microsoft,10/1/2023,2.24631e-05
SE,SEK,Id3,Customer3,Storage,Hot LRS Data Stored,Blob Storage,Microsoft,10/1/2023,4.481807918
SE,SEK,Id3,Customer3,Storage,All Other Operations,Blob Storage,Microsoft,10/1/2023,2.24631e-05
SE,SEK,Id3,Customer3,Storage,Hot LRS Data Stored,Blob Storage,Microsoft,10/1/2023,0.020365452
SE,SEK,Id3,Customer3,Storage,All Other Operations,Blob Storage,Microsoft,10/1/2023,2.41478e-05
SE,SEK,Id3,Customer3,Storage,All Other Operations,Blob Storage,Microsoft,10/1/2023,2.41478e-05
