API Country,API Currancy,Customer Id,Customer Name,Meter Category,Meter Name,Meter Sub Category,PublisherName,Usage Date,Billing Pre Tax Total
UK,GBP,id4,Customer4,Azure DNS,Private Zone,Azure DNS,Microsoft,11/1/2023,0.011288795
UK,GBP,id4,Customer4,Azure Monitor,Alerts Metric Monitored,Azure Monitor,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Backup,Azure Files Protected Instances,Backup,Microsoft,11/1/2023,0.141109941
UK,GBP,id4,Customer4,Backup,Azure VM Protected Instances,Backup,Microsoft,11/1/2023,5.192845826
UK,GBP,id4,Customer4,Backup,ZRS Data Stored,Backup,Microsoft,11/1/2023,11.759548578
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,4.42735e-05
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,5.4967e-05
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.00031615
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,2.5371e-06
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.005721322
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Inter Continent Data Transfer Out - NAM or EU To Any,Bandwidth Inter-Region,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.0058474
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.005682439
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.006077158
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.00496087
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.005905801
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.006352525
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.008446987
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.005646231
UK,GBP,id4,Customer4,Bandwidth,Intra Continent Data Transfer Out,Bandwidth Inter-Region,Microsoft,11/1/2023,0.005761383
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Bandwidth,Standard Data Transfer Out,Rtn Preference: MGN,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Log Analytics,Pay-as-you-go Data Ingestion,Log Analytics,Microsoft,11/1/2023,0
UK,GBP,id4,Customer4,Storage,All Other Operations,Blob Storage,Microsoft,11/1/2023,1.9737e-06
UK,GBP,id4,Customer4,Storage,Premium LRS Provisioned,Premium Files,Microsoft,11/1/2023,11.497111504
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.014788831
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.09208111
UK,GBP,id4,Customer4,Storage,P15 LRS Disk,Premium SSD Managed Disks,Microsoft,11/1/2023,1.073100659
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.03610246
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.042255131
UK,GBP,id4,Customer4,Storage,P30 LRS Disk,Premium SSD Managed Disks,Microsoft,11/1/2023,3.81590902
UK,GBP,id4,Customer4,Storage,P40 LRS Disk,Premium SSD Managed Disks,Microsoft,11/1/2023,7.312983334
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.044214978
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.038893346
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.052661211
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.037974846
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.047081678
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.043867153
UK,GBP,id4,Customer4,Storage,LRS Snapshots,Premium SSD Managed Disks,Microsoft,11/1/2023,0.042609003
