CurrencyCode,USDPerUnit,Month
AED,0.272253304,2023-11-01T00:00:00
AFN,0.013629549,2023-11-01T00:00:00
ALL,0.010004502,2023-11-01T00:00:00
AMD,0.002484163,2023-11-01T00:00:00
ANG,0.558659218,2023-11-01T00:00:00
AOA,0.0011951,2023-11-01T00:00:00
ARS,0.002857347,2023-11-01T00:00:00
AUD,0.63505,2023-11-01T00:00:00
AZN,0.588494924,2023-11-01T00:00:00
BAM,0.540891389,2023-11-01T00:00:00
BBD,0.5,2023-11-01T00:00:00
BDT,0.009070295,2023-11-01T00:00:00
BGN,0.540847508,2023-11-01T00:00:00
BHD,2.651113468,2023-11-01T00:00:00
BIF,0.000352051,2023-11-01T00:00:00
BMD,1,2023-11-01T00:00:00
BND,0.730673681,2023-11-01T00:00:00
BOB,0.1447178,2023-11-01T00:00:00
BRL,0.202009999,2023-11-01T00:00:00
BSD,1,2023-11-01T00:00:00
BTN,0.012012553,2023-11-01T00:00:00
BWP,0.0731,2023-11-01T00:00:00
BYN,0.303490137,2023-11-01T00:00:00
BZD,0.5,2023-11-01T00:00:00
CAD,0.721761097,2023-11-01T00:00:00
CDF,0.000387027,2023-11-01T00:00:00
CHF,1.107726392,2023-11-01T00:00:00
CLP,0.001111111,2023-11-01T00:00:00
CNH,0.136474056,2023-11-01T00:00:00
CNY,0.136668967,2023-11-01T00:00:00
COP,0.000241524,2023-11-01T00:00:00
CRC,0.001874239,2023-11-01T00:00:00
CVE,0.009566632,2023-11-01T00:00:00
CZK,0.042942045,2023-11-01T00:00:00
DJF,0.005586592,2023-11-01T00:00:00
DKK,0.141734404,2023-11-01T00:00:00
DOP,0.017602535,2023-11-01T00:00:00
DZD,0.007325935,2023-11-01T00:00:00
EGP,0.03236246,2023-11-01T00:00:00
ERN,0.065274151,2023-11-01T00:00:00
ETB,0.017938877,2023-11-01T00:00:00
EUR,1.0579,2023-11-01T00:00:00
FJD,0.431369166,2023-11-01T00:00:00
GBP,1.21445,2023-11-01T00:00:00
GEL,0.370096225,2023-11-01T00:00:00
GHS,0.084210526,2023-11-01T00:00:00
GIP,1.212,2023-11-01T00:00:00
GMD,0.016239039,2023-11-01T00:00:00
GNF,0.000116215,2023-11-01T00:00:00
GTQ,0.127513612,2023-11-01T00:00:00
GYD,0.004779772,2023-11-01T00:00:00
HKD,0.127836369,2023-11-01T00:00:00
HNL,0.040429687,2023-11-01T00:00:00
HRK,0.14040704,2023-11-01T00:00:00
HTG,0.007521302,2023-11-01T00:00:00
HUF,0.00276539,2023-11-01T00:00:00
IDR,6.27E-05,2023-11-01T00:00:00
ILS,0.246639536,2023-11-01T00:00:00
INR,0.012012553,2023-11-01T00:00:00
IQD,0.000763359,2023-11-01T00:00:00
ISK,0.007181586,2023-11-01T00:00:00
JMD,0.006463827,2023-11-01T00:00:00
JOD,1.409542603,2023-11-01T00:00:00
JPY,0.006684269,2023-11-01T00:00:00
KES,0.006644518,2023-11-01T00:00:00
KGS,0.011195701,2023-11-01T00:00:00
KHR,0.000241838,2023-11-01T00:00:00
KMF,0.002150344,2023-11-01T00:00:00
KRW,0.000737545,2023-11-01T00:00:00
KTS,0.002123774,2023-11-01T00:00:00
KWD,3.234675724,2023-11-01T00:00:00
KYD,1.219512195,2023-11-01T00:00:00
KZT,0.002123774,2023-11-01T00:00:00
LAK,4.83E-05,2023-11-01T00:00:00
LBP,6.66E-05,2023-11-01T00:00:00
LKR,0.003054368,2023-11-01T00:00:00
LRD,0.005343308,2023-11-01T00:00:00
LSL,0.053182578,2023-11-01T00:00:00
LYD,0.20407955,2023-11-01T00:00:00
MAD,0.097257343,2023-11-01T00:00:00
MDL,0.055187638,2023-11-01T00:00:00
MGA,0.000221958,2023-11-01T00:00:00
MKD,0.01719247,2023-11-01T00:00:00
MMK,0.00047619,2023-11-01T00:00:00
MNT,0.000288517,2023-11-01T00:00:00
MOP,0.124112595,2023-11-01T00:00:00
MRU,0.02555584,2023-11-01T00:00:00
MUR,0.022522523,2023-11-01T00:00:00
MVR,0.064977258,2023-11-01T00:00:00
MWK,0.000855593,2023-11-01T00:00:00
MXN,0.055326565,2023-11-01T00:00:00
MYR,0.209270692,2023-11-01T00:00:00
MZN,0.015653127,2023-11-01T00:00:00
NAD,0.053182578,2023-11-01T00:00:00
NGN,0.001266624,2023-11-01T00:00:00
NIO,0.027292576,2023-11-01T00:00:00
NOK,0.08965273,2023-11-01T00:00:00
NPR,0.007507846,2023-11-01T00:00:00
NZD,0.58265,2023-11-01T00:00:00
OMR,2.597402597,2023-11-01T00:00:00
PAB,1,2023-11-01T00:00:00
PEN,0.258645216,2023-11-01T00:00:00
PGK,0.26919712,2023-11-01T00:00:00
PHP,0.01755618,2023-11-01T00:00:00
PKR,0.003567288,2023-11-01T00:00:00
PLN,0.237011756,2023-11-01T00:00:00
PYG,0.000133926,2023-11-01T00:00:00
QAR,0.274725275,2023-11-01T00:00:00
RON,0.213112833,2023-11-01T00:00:00
RSD,0.00900698,2023-11-01T00:00:00
RUB,0.010559662,2023-11-01T00:00:00
RWF,0.000813637,2023-11-01T00:00:00
SAR,0.266545833,2023-11-01T00:00:00
SBD,0.118,2023-11-01T00:00:00
SCR,0.069572235,2023-11-01T00:00:00
SEK,0.089880773,2023-11-01T00:00:00
SGD,0.730673681,2023-11-01T00:00:00
SLE,0.044072279,2023-11-01T00:00:00
SRD,0.026157126,2023-11-01T00:00:00
SZL,0.053182578,2023-11-01T00:00:00
THB,0.027609056,2023-11-01T00:00:00
TMT,0.286123033,2023-11-01T00:00:00
TND,0.315293302,2023-11-01T00:00:00
TOP,0.4148,2023-11-01T00:00:00
TRY,0.035471685,2023-11-01T00:00:00
TTD,0.14833164,2023-11-01T00:00:00
TWD,0.030829942,2023-11-01T00:00:00
TZS,0.00040016,2023-11-01T00:00:00
UAH,0.027438606,2023-11-01T00:00:00
UGX,0.000265041,2023-11-01T00:00:00
USD,1,2023-11-01T00:00:00
UYU,0.025065798,2023-11-01T00:00:00
UZS,8.18E-05,2023-11-01T00:00:00
VES,0.028503273,2023-11-01T00:00:00
VND,4.07E-05,2023-11-01T00:00:00
VUV,0.008106684,2023-11-01T00:00:00
WST,0.356,2023-11-01T00:00:00
XAF,0.00158715,2023-11-01T00:00:00
XCD,0.37037037,2023-11-01T00:00:00
XOF,0.00160901,2023-11-01T00:00:00
XPF,0.008865205,2023-11-01T00:00:00
YER,0.003996323,2023-11-01T00:00:00
YUM,0.00900698,2023-11-01T00:00:00
ZAR,0.053182578,2023-11-01T00:00:00
ZMW,0.045570439,2023-11-01T00:00:00
