CurrencyCode,USDPerUnit,Month
AED,0.272253304,2023-10-01T00:00:00
AFN,0.012800819,2023-10-01T00:00:00
ALL,0.009845427,2023-10-01T00:00:00
AMD,0.002573406,2023-10-01T00:00:00
ANG,0.558659218,2023-10-01T00:00:00
AOA,0.001204819,2023-10-01T00:00:00
ARS,0.002856938,2023-10-01T00:00:00
AUD,0.6377,2023-10-01T00:00:00
AZN,0.588235294,2023-10-01T00:00:00
BAM,0.537446591,2023-10-01T00:00:00
BBD,0.5,2023-10-01T00:00:00
BDT,0.009070295,2023-10-01T00:00:00
BGN,0.537432149,2023-10-01T00:00:00
BHD,2.652519894,2023-10-01T00:00:00
BIF,0.000351617,2023-10-01T00:00:00
BMD,1,2023-10-01T00:00:00
BND,0.729208444,2023-10-01T00:00:00
BOB,0.1447178,2023-10-01T00:00:00
BRL,0.198842735,2023-10-01T00:00:00
BSD,1,2023-10-01T00:00:00
BTN,0.012015079,2023-10-01T00:00:00
BWP,0.07255,2023-10-01T00:00:00
BYN,0.4,2023-10-01T00:00:00
BZD,0.5,2023-10-01T00:00:00
CAD,0.739781764,2023-10-01T00:00:00
CDF,0.000400802,2023-10-01T00:00:00
CHF,1.087133772,2023-10-01T00:00:00
CLP,0.001104423,2023-10-01T00:00:00
CNH,0.136756812,2023-10-01T00:00:00
CNY,0.136826046,2023-10-01T00:00:00
COP,0.000244437,2023-10-01T00:00:00
CRC,0.001871363,2023-10-01T00:00:00
CVE,0.009486316,2023-10-01T00:00:00
CZK,0.043139987,2023-10-01T00:00:00
DJF,0.0056164,2023-10-01T00:00:00
DKK,0.140980094,2023-10-01T00:00:00
DOP,0.017614937,2023-10-01T00:00:00
DZD,0.007270253,2023-10-01T00:00:00
EGP,0.03236246,2023-10-01T00:00:00
ERN,0.066334992,2023-10-01T00:00:00
ETB,0.018026073,2023-10-01T00:00:00
EUR,1.05115,2023-10-01T00:00:00
FJD,0.434829873,2023-10-01T00:00:00
GBP,1.2135,2023-10-01T00:00:00
GEL,0.373831776,2023-10-01T00:00:00
GHS,0.086956522,2023-10-01T00:00:00
GIP,1.2155,2023-10-01T00:00:00
GMD,0.016380016,2023-10-01T00:00:00
GNF,0.00011554,2023-10-01T00:00:00
GTQ,0.127223226,2023-10-01T00:00:00
GYD,0.004779772,2023-10-01T00:00:00
HKD,0.12786007,2023-10-01T00:00:00
HNL,0.040484027,2023-10-01T00:00:00
HRK,0.139511848,2023-10-01T00:00:00
HTG,0.00743248,2023-10-01T00:00:00
HUF,0.002677236,2023-10-01T00:00:00
IDR,6.44E-05,2023-10-01T00:00:00
ILS,0.260362424,2023-10-01T00:00:00
INR,0.012015079,2023-10-01T00:00:00
IQD,0.00076358,2023-10-01T00:00:00
ISK,0.007254262,2023-10-01T00:00:00
JMD,0.006467745,2023-10-01T00:00:00
JOD,1.408946812,2023-10-01T00:00:00
JPY,0.006690082,2023-10-01T00:00:00
KES,0.00675904,2023-10-01T00:00:00
KGS,0.011272686,2023-10-01T00:00:00
KHR,0.000242836,2023-10-01T00:00:00
KMF,0.002136624,2023-10-01T00:00:00
KRW,0.00074107,2023-10-01T00:00:00
KTS,0.002087639,2023-10-01T00:00:00
KWD,3.232584451,2023-10-01T00:00:00
KYD,1.219512195,2023-10-01T00:00:00
KZT,0.002087639,2023-10-01T00:00:00
LAK,4.96E-05,2023-10-01T00:00:00
LBP,6.65E-05,2023-10-01T00:00:00
LKR,0.00308642,2023-10-01T00:00:00
LRD,0.005235602,2023-10-01T00:00:00
LSL,0.052250016,2023-10-01T00:00:00
LYD,0.204580559,2023-10-01T00:00:00
MAD,0.096888898,2023-10-01T00:00:00
MDL,0.055157198,2023-10-01T00:00:00
MGA,0.000221484,2023-10-01T00:00:00
MKD,0.017076503,2023-10-01T00:00:00
MMK,0.00047619,2023-10-01T00:00:00
MNT,0.00028777,2023-10-01T00:00:00
MOP,0.124136476,2023-10-01T00:00:00
MRU,0.026301946,2023-10-01T00:00:00
MUR,0.02247191,2023-10-01T00:00:00
MVR,0.064850843,2023-10-01T00:00:00
MWK,0.000896278,2023-10-01T00:00:00
MXN,0.056610716,2023-10-01T00:00:00
MYR,0.212404418,2023-10-01T00:00:00
MZN,0.015661707,2023-10-01T00:00:00
NAD,0.052250016,2023-10-01T00:00:00
NGN,0.001266624,2023-10-01T00:00:00
NIO,0.02737476,2023-10-01T00:00:00
NOK,0.093001628,2023-10-01T00:00:00
NPR,0.007509424,2023-10-01T00:00:00
NZD,0.59385,2023-10-01T00:00:00
OMR,2.597065316,2023-10-01T00:00:00
PAB,1,2023-10-01T00:00:00
PEN,0.263612279,2023-10-01T00:00:00
PGK,0.27474037,2023-10-01T00:00:00
PHP,0.017559263,2023-10-01T00:00:00
PKR,0.003468008,2023-10-01T00:00:00
PLN,0.226896286,2023-10-01T00:00:00
PYG,0.000137195,2023-10-01T00:00:00
QAR,0.274725275,2023-10-01T00:00:00
RON,0.21130704,2023-10-01T00:00:00
RSD,0.008968208,2023-10-01T00:00:00
RUB,0.010335917,2023-10-01T00:00:00
RWF,0.000817661,2023-10-01T00:00:00
SAR,0.266588467,2023-10-01T00:00:00
SBD,0.1195,2023-10-01T00:00:00
SCR,0.070994239,2023-10-01T00:00:00
SEK,0.090815798,2023-10-01T00:00:00
SGD,0.729208444,2023-10-01T00:00:00
SLE,0.043956044,2023-10-01T00:00:00
SRD,0.026053879,2023-10-01T00:00:00
SZL,0.052250016,2023-10-01T00:00:00
THB,0.02737476,2023-10-01T00:00:00
TMT,0.286123033,2023-10-01T00:00:00
TND,0.3129058,2023-10-01T00:00:00
TOP,0.4175,2023-10-01T00:00:00
TRY,0.036619976,2023-10-01T00:00:00
TTD,0.148124009,2023-10-01T00:00:00
TWD,0.031004868,2023-10-01T00:00:00
TZS,0.000398406,2023-10-01T00:00:00
UAH,0.027077156,2023-10-01T00:00:00
UGX,0.000266312,2023-10-01T00:00:00
USD,1,2023-10-01T00:00:00
UYU,0.026106252,2023-10-01T00:00:00
UZS,8.21E-05,2023-10-01T00:00:00
VES,0.029233025,2023-10-01T00:00:00
VND,4.10E-05,2023-10-01T00:00:00
VUV,0.008170936,2023-10-01T00:00:00
WST,0.3588,2023-10-01T00:00:00
XAF,0.00158778,2023-10-01T00:00:00
XCD,0.37037037,2023-10-01T00:00:00
